Index,X_length,Y_length,U1,U2,Z_length
96,6222487.3,-10000000.0,0.0,0.0,2.2381892
97,7761208.6,-10000000.0,0.0,0.0,2.1459698
98,10000000.0,-10000000.0,0.0,0.0,2.0853287
101,-10000000.0,-7761109.3,0.0,0.0,2.1459727
102,-7761109.3,-7761109.3,-3.0142142,-3.0142142,2.1853343
103,-6222352.8,-7761109.3,-4.057668,-4.1485842,2.2736532
104,-5164788.2,-7761109.3,-4.4201318,-5.0102293,2.3364505
105,-4437939.7,-7761109.3,-4.431093,-5.6121643,2.3839978
106,-3938387.5,-7761109.3,-4.3173074,-6.0322415,2.4182886
107,-3595052.6,-7761109.3,-4.1754255,-6.3173443,2.4421169
108,-3359083.6,-7761109.3,-4.0480548,-6.5099894,2.458125
109,-3196905.6,-7761109.3,-3.9460126,-6.6399883,2.4691081
110,-3085443.1,-7761109.3,-3.8691843,-6.7279665,2.4765346
111,-3008836.5,-7761109.3,-3.8131673,-6.7876927,2.4816459
112,-2956185.9,-7761109.3,-3.7731736,-6.8283653,2.4850641
113,-2920000.0,-7761109.3,-3.7449817,-6.8561309,2.4874503
114,-2840000.0,-7761109.3,-3.6806744,-6.9169533,2.492452
115,-2760000.0,-7761109.3,-3.613559,-6.9769452,2.4974399
116,-2680000.0,-7761109.3,-3.5437246,-7.0360494,2.5023221
117,-2600000.0,-7761109.3,-3.4711528,-7.0942076,2.5071456
118,-2520000.0,-7761109.3,-3.3959119,-7.1513625,2.5118935
119,-2440000.0,-7761109.3,-3.3180027,-7.2074556,2.5165637
120,-2360000.0,-7761109.3,-3.2374963,-7.2624296,2.5211489
121,-2280000.0,-7761109.3,-3.1544056,-7.3162265,2.5256414
122,-2200000.0,-7761109.3,-3.068805,-7.3687896,2.5300368
123,-2120000.0,-7761109.3,-2.9807187,-7.4200619,2.534328
124,-2040000.0,-7761109.3,-2.8902237,-7.4699875,2.5385116
125,-1960000.0,-7761109.3,-2.7973552,-7.5185109,2.5425808
126,-1880000.0,-7761109.3,-2.7021936,-7.5655778,2.5465323
127,-1800000.0,-7761109.3,-2.6047845,-7.6111344,2.5503597
128,-1720000.0,-7761109.3,-2.5052117,-7.6551285,2.5540597
129,-1640000.0,-7761109.3,-2.4035305,-7.6975088,2.5576263
130,-1560000.0,-7761109.3,-2.2998283,-7.7382254,2.5610561
131,-1480000.0,-7761109.3,-2.1941698,-7.77723,2.5643436
132,-1400000.0,-7761109.3,-2.086646,-7.8144758,2.5674854
